userName,score,at,content
Pengguna Google,5,2024-06-12 02:23:29,Mantap
Pengguna Google,5,2024-06-12 01:46:15,ok
Pengguna Google,4,2024-06-12 01:16:14,"Kenapa sering minta verifikasi ulang , dan harus lewat sms bikin pulsa abis terus"
Pengguna Google,5,2024-06-11 23:38:45,Itulah saya
Pengguna Google,5,2024-06-11 23:31:20,Aman dan terpercaya.
Pengguna Google,1,2024-06-11 21:15:09,Pengiriman CC gagal terus najis!
Pengguna Google,3,2024-06-11 20:50:17,Maaf gue kasih bintang 3 parah amat dikit2 keluar suruh login mending masuk lama suruh ke login ke nomer kartu ATM udh gitu segala pake pulsa aja beli jauh dari kota hadehh
Pengguna Google,1,2024-06-11 19:08:48,"Ini verifikasi biometric wajah gagal terus gimana solusinya pake ini aplikasi, sementara sms banking sudah ditutup, jangan kasih saran petunjuk tempat terang ato wajah dalam lingkaran ya... itumah petunjuknya ada..."
Pengguna Google,5,2024-06-11 18:58:54,Sangat bagus aplikasi nie.
Pengguna Google,5,2024-06-11 17:56:20,Sangat baik
Pengguna Google,1,2024-06-11 17:08:09,Kelas verifikasi sampai habis pulsa 100k baru bisa besok² lagi Ampe 1 juta lah kurang masa iya 100k doang habisin pulsanya
Pengguna Google,1,2024-06-11 16:48:35,Verifikasi wajah susah sekali apaan ini!!!!
Pengguna Google,1,2024-06-11 16:23:24,BURUK !!! NYUSAHIN !!! VERIVIKASI SMS BER JAM-JAM GA ADA SMS MASUK !!! VERIVIKASI SEBELUM NYA JUGA MEMAKAN BANYAK PULSA BUTUH BERKALI KALI VERIVIKASI !!!
Pengguna Google,1,2024-06-11 15:32:30,Sering Close Regist ulang sms ga masuk masuk alhasil pulsa kesedot terus dicoba berkali kali nunggu lama begitu terus
Pengguna Google,1,2024-06-11 15:21:57,"Transaksi qris gagal 2x , tapi saldo tetap keluar malah keluarnya 3x nominal transaksi.. Oke lah bca buruk sekali"
Pengguna Google,1,2024-06-11 14:48:50,Ok
Pengguna Google,5,2024-06-11 12:42:59,Sangat baik
Pengguna Google,1,2024-06-11 12:04:01,kenapa di hpku foceclose ya. padahal aplikasi mbanking lain normal semua. aneh
Pengguna Google,5,2024-06-11 11:50:51,Aplikasinya memudahkan top markotop
Pengguna Google,5,2024-06-11 11:48:12,Mantull
Pengguna Google,5,2024-06-11 11:46:44,keren
Pengguna Google,5,2024-06-11 11:30:56,Kenapa saya tidak bisa verifikasi wajah
Pengguna Google,1,2024-06-11 11:24:54,"Sekarang jdi ribet mau masuk, udah pernah regis skrng malah suruh regis kembali"
Pengguna Google,5,2024-06-11 10:36:16,"BCA asu setiap verifikasi selalu gagal kirim pesan, sudah tiga hari gagal mengirim pesan, siapa yang tidak emosi kalau begini terus"
Pengguna Google,1,2024-06-11 10:32:41,"Sampai 4x harus login lagi, menghamburkan pulsa saja, padahal dah bisa masuk, bacaannya harus d update, cek playstore masih versi baru.. Bikin menghambat saja"
Pengguna Google,5,2024-06-11 10:01:30,Pakai bca Mobile lebih aman
Pengguna Google,5,2024-06-11 09:35:29,Membantu sekali
Pengguna Google,5,2024-06-11 09:24:58,Bagus
Pengguna Google,1,2024-06-11 09:22:58,"Kenapa saya pas daftar ga bisa masuk koneksi terputus padahal koneksi nya bagus min,,saya coba berulang kali sampe pulsa ku abis karna disuruh kirim sms"
Pengguna Google,5,2024-06-11 09:20:44,Good Jobs... 👍👌🤝
Pengguna Google,5,2024-06-11 07:57:00,Mantap makasih BCA
Pengguna Google,1,2024-06-11 07:47:13,"Bca mobil sedang kenapa ini kok untuk login lagi ke aplikasi kok susah sekali, Sudah 3 hari login gagal terus,"
Pengguna Google,3,2024-06-11 07:39:27,Saat mau masuk ke apps bca mobile selalu lama ga seperti sebelumnya. Tolong diperbaiki lagi. Terimakasih
Pengguna Google,5,2024-06-11 07:25:22,Bagus sekali
Pengguna Google,1,2024-06-11 06:54:41,"kenapa susah sekali sih buat nerima sms verifikasi,,gue jadi susah mau transaksi"
Pengguna Google,5,2024-06-11 06:27:30,Bagus
Pengguna Google,1,2024-06-11 06:06:23,Aplikasi GK bisa didownload
Pengguna Google,1,2024-06-11 05:27:12,Terlalu banyak iklan BCA keyboard nya
Pengguna Google,1,2024-06-11 05:19:56,Setiap mau login bikin susah
Pengguna Google,3,2024-06-11 05:15:45,"Tolong di perbaiki dong, udah beberapa hari ini apk ini gk bisa buat ngapa2in, QR gk bisa2, masuk aja loadingnya lambat bgt, QR pas mau masukin pin keluar dgn sendirinya,,"
Pengguna Google,5,2024-06-11 05:12:30,Mantap
Pengguna Google,1,2024-06-11 04:44:31,Aplikasi lemot
Pengguna Google,4,2024-06-11 04:17:35,Kok sekarang ngelag ya mau buka bca mobile . Harus nunggu lama dulu baru bisa ke tampilan mau login hmmm
Pengguna Google,5,2024-06-11 04:00:00,Sangat membantu
Pengguna Google,5,2024-06-11 03:35:42,Ok
Pengguna Google,2,2024-06-11 03:31:22,"M bangking sangat lambat sekarang, buat tf aja nunggu buffering 15 menit"
Pengguna Google,1,2024-06-11 03:16:52,"Aq ko beli token listrik sudah terpotong saldo tp no token nya ga muncul, suruh cek ke pln manual trus masukin no trx, tp di coba ga bisa, tulisannya sementara transaksi tidak bisa di proses, padahal saldo terpotong .. Haduhhh"
Pengguna Google,5,2024-06-11 03:08:36,Aman nyaman tapi kenapa ya buka aplikasi terus susah bukanya
Pengguna Google,5,2024-06-11 02:41:50,Mudah dalam bertransaksi tanpa mengantri
Pengguna Google,5,2024-06-11 01:23:34,Terima kasih
Pengguna Google,2,2024-06-11 00:29:16,"Kok app-nya gak bisa dibuka sih? Cuma kelihatan layar hitam terus, padahal nomor sim card & rekening msh aktif. Gimana solusinya nih??"
Pengguna Google,5,2024-06-10 21:43:23,Sangat baik
Pengguna Google,5,2024-06-10 21:17:05,Sat set cepat.sekali
Pengguna Google,3,2024-06-10 21:13:23,Kenapa ya aplikasinya gk bisa d buka .padahal saya dah apdate
