Clothing ID,Review Text,Rating,Date
101,Prezzo alto rispetto alla qualità percepita.,1,2025-05-16
102,"Taglia fedele alla guida, vestibilità perfetta.",5,2024-09-08
102,"Qualità ottima, tessuto Camicia lino morbido e rifinito.",4,2025-05-03
104,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",5,2025-04-10
107,"Taglia fedele alla guida, vestibilità perfetta.",5,2024-09-03
105,"Consegna in ritardo di 5 giorni, tracking poco chiaro.",2,2024-04-11
108,Colore identico alle foto del sito.,4,2024-07-13
108,"Packaging danneggiato, scatola arrivata schiacciata.",2,2024-07-03
103,Prezzo alto rispetto alla qualità percepita.,3,2024-04-09
110,Ottimo rapporto qualità/prezzo con sconto.,3,2025-12-19
112,"Packaging curato e sostenibile, molto apprezzato.",4,2024-04-17
102,Colore identico alle foto del sito.,5,2024-12-19
107,Colore identico alle foto del sito.,4,2024-05-21
107,"Packaging curato e sostenibile, molto apprezzato.",5,2024-11-23
110,"Qualità ottima, tessuto Cintura morbido e rifinito.",4,2024-10-26
103,"Packaging curato e sostenibile, molto apprezzato.",5,2024-01-22
112,Colore diverso da quello visto nelle foto.,2,2025-04-19
107,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",4,2025-07-21
105,"Consegna rapidissima in 24h, imballo integro.",5,2025-04-16
106,Ottimo rapporto qualità/prezzo con sconto.,5,2024-05-11
104,Colore diverso da quello visto nelle foto.,2,2024-12-07
112,Qualità sotto le aspettative: tessuto che fa pallini dopo pochi usi.,3,2024-08-27
109,"Consegna rapidissima in 24h, imballo integro.",4,2025-06-16
108,"Qualità ottima, tessuto Pantaloni eleganti morbido e rifinito.",5,2025-04-02
110,"Consegna in ritardo di 5 giorni, tracking poco chiaro.",3,2025-07-21
105,"Reso complicato, procedure lunghe e poco chiare.",3,2024-03-17
108,"Consegna in ritardo di 5 giorni, tracking poco chiaro.",2,2024-08-23
111,"Taglia fedele alla guida, vestibilità perfetta.",4,2024-09-05
101,"Assistenza irraggiungibile, ticket rimasto senza risposta.",3,2024-02-07
103,"Packaging curato e sostenibile, molto apprezzato.",4,2024-01-05
110,"Reso complicato, procedure lunghe e poco chiare.",2,2024-02-20
101,Colore diverso da quello visto nelle foto.,2,2025-12-07
109,Prezzo alto rispetto alla qualità percepita.,1,2024-09-03
107,Prezzo alto rispetto alla qualità percepita.,3,2024-04-13
106,"Consegna rapidissima in 24h, imballo integro.",5,2024-03-16
105,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",5,2024-07-27
106,"Qualità ottima, tessuto Borsa pelle morbido e rifinito.",4,2024-10-29
108,Prezzo alto rispetto alla qualità percepita.,2,2024-12-22
101,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",5,2024-08-15
103,Reso semplice e rimborsato in 2 giorni.,3,2024-05-13
110,"Consegna rapidissima in 24h, imballo integro.",4,2024-09-18
101,"Packaging danneggiato, scatola arrivata schiacciata.",3,2024-08-30
106,Colore identico alle foto del sito.,4,2025-06-09
111,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",3,2024-04-25
107,"Consegna rapidissima in 24h, imballo integro.",4,2024-04-05
102,"Reso complicato, procedure lunghe e poco chiare.",1,2024-08-24
106,"Packaging danneggiato, scatola arrivata schiacciata.",2,2024-03-22
110,"Taglia non corrispondente, ho dovuto cambiare due volte.",3,2025-05-18
111,"Qualità ottima, tessuto Cappotto morbido e rifinito.",4,2024-05-29
108,Ottimo rapporto qualità/prezzo con sconto.,4,2025-12-03
104,"Packaging danneggiato, scatola arrivata schiacciata.",2,2024-10-14
108,"Consegna rapidissima in 24h, imballo integro.",5,2024-12-11
103,"Reso complicato, procedure lunghe e poco chiare.",3,2024-03-04
111,"Assistenza irraggiungibile, ticket rimasto senza risposta.",2,2024-03-06
106,"Taglia non corrispondente, ho dovuto cambiare due volte.",2,2025-03-20
110,"Consegna rapidissima in 24h, imballo integro.",4,2025-04-14
109,Ottimo rapporto qualità/prezzo con sconto.,5,2025-06-27
101,"Taglia fedele alla guida, vestibilità perfetta.",5,2024-08-11
107,"Consegna rapidissima in 24h, imballo integro.",4,2024-05-21
101,"Reso complicato, procedure lunghe e poco chiare.",1,2024-09-22
110,Prezzo alto rispetto alla qualità percepita.,3,2025-03-19
104,"Taglia non corrispondente, ho dovuto cambiare due volte.",2,2025-03-13
108,"Packaging curato e sostenibile, molto apprezzato.",4,2024-03-31
107,Prezzo alto rispetto alla qualità percepita.,3,2025-01-06
106,"Taglia non corrispondente, ho dovuto cambiare due volte.",1,2024-01-22
112,"Packaging danneggiato, scatola arrivata schiacciata.",2,2024-10-22
103,"Packaging danneggiato, scatola arrivata schiacciata.",1,2025-01-19
109,Colore diverso da quello visto nelle foto.,2,2024-05-23
109,Colore diverso da quello visto nelle foto.,2,2024-02-03
101,Colore identico alle foto del sito.,4,2024-07-28
106,"Reso complicato, procedure lunghe e poco chiare.",2,2024-09-22
105,"Packaging danneggiato, scatola arrivata schiacciata.",2,2024-10-15
103,Prezzo alto rispetto alla qualità percepita.,2,2024-06-24
105,"Packaging danneggiato, scatola arrivata schiacciata.",2,2024-07-11
105,"Consegna rapidissima in 24h, imballo integro.",4,2024-05-08
111,Prezzo alto rispetto alla qualità percepita.,3,2025-03-22
111,"Assistenza irraggiungibile, ticket rimasto senza risposta.",3,2025-12-17
108,"Consegna rapidissima in 24h, imballo integro.",4,2025-04-08
105,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",4,2025-04-03
106,"Qualità ottima, tessuto Borsa pelle morbido e rifinito.",5,2024-09-21
109,"Packaging danneggiato, scatola arrivata schiacciata.",1,2025-04-04
106,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",4,2025-07-01
112,"Qualità ottima, tessuto Sandali morbido e rifinito.",5,2024-05-10
102,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",5,2025-02-21
108,"Qualità ottima, tessuto Pantaloni eleganti morbido e rifinito.",4,2025-05-23
109,Colore identico alle foto del sito.,4,2024-02-02
101,"Taglia fedele alla guida, vestibilità perfetta.",5,2025-05-23
103,"Consegna in ritardo di 5 giorni, tracking poco chiaro.",3,2025-04-17
103,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",5,2024-08-29
109,"Consegna rapidissima in 24h, imballo integro.",5,2025-05-20
108,"Consegna rapidissima in 24h, imballo integro.",5,2025-04-11
110,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",4,2025-01-07
106,"Qualità ottima, tessuto Borsa pelle morbido e rifinito.",4,2025-05-04
101,"Packaging curato e sostenibile, molto apprezzato.",4,2024-04-19
101,Prezzo alto rispetto alla qualità percepita.,1,2024-03-22
105,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",5,2024-04-07
107,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",4,2025-07-16
102,"Packaging danneggiato, scatola arrivata schiacciata.",2,2024-04-21
101,"Packaging danneggiato, scatola arrivata schiacciata.",1,2024-09-26
