userName,score,at,content
Andrea,1,2024-01-02 00:00:00,Codici promo spesso non funzionano.
Matteo,2,2024-01-03 00:00:00,Consegna in ritardo e prodotti mancanti.
Arianna,4,2024-01-03 00:00:00,Consegne puntuali e rider gentili.
Sofia,2,2024-01-04 00:00:00,Crash frequenti alla conferma carrello.
Beatrice,4,2024-01-04 00:00:00,Ottime promo e coupon automatici in cassa.
Tommaso,5,2024-01-04 00:00:00,Consegne puntuali e rider gentili.
Paolo,5,2024-01-06 00:00:00,"Login con FaceID comodissimo, nessun problema."
Davide,5,2024-01-08 00:00:00,"Interfaccia chiara, categorie facili da navigare."
Elisa,5,2024-01-10 00:00:00,Chat rapida: problema risolto in 5 minuti.
Marco,2,2024-01-12 00:00:00,Crash frequenti alla conferma carrello.
Simone,1,2024-01-12 00:00:00,Sostituzioni forzate e non equivalenti.
Roberto,4,2024-01-14 00:00:00,"Registrazione veloce e chiara, in pochi minuti ho fatto il primo ordine."
Roberto,3,2024-01-16 00:00:00,Crash frequenti alla conferma carrello.
Nicola,4,2024-01-17 00:00:00,Ottime promo e coupon automatici in cassa.
Sofia,4,2024-01-18 00:00:00,"Interfaccia chiara, categorie facili da navigare."
Giulia,4,2024-01-18 00:00:00,Consegne puntuali e rider gentili.
Davide,5,2024-01-22 00:00:00,"Sostituzioni proposte bene, alternative di qualità."
Nicola,2,2024-01-23 00:00:00,"Login spesso fallisce, devo reimpostare la password."
Gabriele,5,2024-01-26 00:00:00,"App stabile anche durante gli sconti, nessun crash."
Giulia,3,2024-01-26 00:00:00,Consegne puntuali e rider gentili.
Matteo,5,2024-01-26 00:00:00,Consegne puntuali e rider gentili.
Matteo,2,2024-01-27 00:00:00,"Carta rifiutata senza motivo, assistenza lenta."
Francesca,1,2024-01-30 00:00:00,Sostituzioni forzate e non equivalenti.
Paolo,1,2024-01-31 00:00:00,Codici promo spesso non funzionano.
Arianna,5,2024-01-31 00:00:00,"Login con FaceID comodissimo, nessun problema."
Edoardo,2,2024-02-01 00:00:00,Consegna in ritardo e prodotti mancanti.
Riccardo,4,2024-02-02 00:00:00,"Registrazione veloce e chiara, in pochi minuti ho fatto il primo ordine."
Marco,3,2024-02-04 00:00:00,"Carta rifiutata senza motivo, assistenza lenta."
Aurora,4,2024-02-06 00:00:00,"Registrazione veloce e chiara, in pochi minuti ho fatto il primo ordine."
Matteo,4,2024-02-08 00:00:00,Consegne puntuali e rider gentili.
Pietro,5,2024-02-08 00:00:00,"Registrazione veloce e chiara, in pochi minuti ho fatto il primo ordine."
Ilaria,1,2024-02-08 00:00:00,Crash frequenti alla conferma carrello.
Pietro,5,2024-02-10 00:00:00,"Login con FaceID comodissimo, nessun problema."
Sara,4,2024-02-11 00:00:00,Consegne puntuali e rider gentili.
Francesca,5,2024-02-11 00:00:00,"App stabile anche durante gli sconti, nessun crash."
Noemi,5,2024-02-15 00:00:00,"Registrazione veloce e chiara, in pochi minuti ho fatto il primo ordine."
Luca,4,2024-02-15 00:00:00,"Login con FaceID comodissimo, nessun problema."
Matteo,4,2024-02-17 00:00:00,"Pagamento fluido con Apple Pay, fattura inviata subito."
Claudia,3,2024-02-18 00:00:00,Codici promo spesso non funzionano.
Federico,2,2024-02-19 00:00:00,Sostituzioni forzate e non equivalenti.
Claudia,2,2024-02-20 00:00:00,Crash frequenti alla conferma carrello.
Filippo,5,2024-02-20 00:00:00,"App stabile anche durante gli sconti, nessun crash."
Francesca,3,2024-02-23 00:00:00,"Carta rifiutata senza motivo, assistenza lenta."
Serena,4,2024-02-24 00:00:00,"Sostituzioni proposte bene, alternative di qualità."
Giulia,3,2024-02-29 00:00:00,Crash frequenti alla conferma carrello.
Federico,2,2024-03-03 00:00:00,"Troppi tap per arrivare alla cassa, UX da rivedere."
Daniele,3,2024-03-07 00:00:00,Crash frequenti alla conferma carrello.
Sara,4,2024-03-09 00:00:00,"Login con FaceID comodissimo, nessun problema."
Michele,3,2024-03-12 00:00:00,"Troppi tap per arrivare alla cassa, UX da rivedere."
Beatrice,5,2024-03-15 00:00:00,Chat rapida: problema risolto in 5 minuti.
Luca,3,2024-03-19 00:00:00,Assistenza non risponde o risposte standard.
Francesca,2,2024-03-20 00:00:00,Consegna in ritardo e prodotti mancanti.
Davide,2,2024-03-23 00:00:00,Codici promo spesso non funzionano.
Federico,3,2024-03-26 00:00:00,"Login spesso fallisce, devo reimpostare la password."
Martina,2,2024-04-01 00:00:00,Consegna in ritardo e prodotti mancanti.
Francesca,5,2024-04-02 00:00:00,Consegne puntuali e rider gentili.
Ilaria,4,2024-04-05 00:00:00,Chat rapida: problema risolto in 5 minuti.
Roberto,2,2024-04-06 00:00:00,Crash frequenti alla conferma carrello.
Nicola,2,2024-04-07 00:00:00,Registrazione confusa con troppi passaggi.
Paolo,4,2024-04-07 00:00:00,"Registrazione veloce e chiara, in pochi minuti ho fatto il primo ordine."
Arianna,4,2024-04-07 00:00:00,"Interfaccia chiara, categorie facili da navigare."
Pietro,4,2024-04-08 00:00:00,"Registrazione veloce e chiara, in pochi minuti ho fatto il primo ordine."
Elisa,4,2024-04-09 00:00:00,"Interfaccia chiara, categorie facili da navigare."
Davide,2,2024-04-09 00:00:00,"Login spesso fallisce, devo reimpostare la password."
Michele,5,2024-04-10 00:00:00,Chat rapida: problema risolto in 5 minuti.
